order_id,gross_cents,discount_cents,net_cents,cost_cents,contribution_cents,quantity,order_date,order_time,server_id,table_number,party_size,channel,status,discount_percent,payment_method,service_minutes,check_duration_minutes,server_name,month,weekday,hour,discount_band
100032,3250,0,3250,1070,2180,3,2026-01-01,18:26:00,7,4.000000,1.000000,dine_in,completed,0,Credit Card,14.000000,63.000000,Server 07,2026-01,3,18,full_price
100033,6700,0,6700,2100,4600,5,2026-01-01,18:28:00,6,10.000000,3.000000,dine_in,completed,0,Credit Card,19.000000,80.000000,Server 06,2026-01,3,18,full_price
100034,4900,0,4900,1415,3485,5,2026-01-01,18:30:00,7,5.000000,2.000000,dine_in,completed,0,Debit Card,23.000000,52.000000,Server 07,2026-01,3,18,full_price
100035,6250,625,5625,2000,3625,6,2026-01-01,18:33:00,6,6.000000,2.000000,dine_in,completed,10,Debit Card,22.000000,74.000000,Server 06,2026-01,3,18,discounted
100036,2350,0,2350,750,1600,2,2026-01-01,18:34:00,6,7.000000,1.000000,dine_in,completed,0,Credit Card,17.000000,73.000000,Server 06,2026-01,3,18,full_price
100037,9650,0,9650,2890,6760,8,2026-01-01,18:41:00,2,11.000000,4.000000,dine_in,completed,0,Debit Card,23.000000,75.000000,Server 02,2026-01,3,18,full_price
100038,4550,0,4550,1360,3190,4,2026-01-01,18:42:00,5,,,takeaway,completed,0,Credit Card,20.000000,20.000000,Server 05,2026-01,3,18,full_price
100039,17850,0,17850,6410,11440,12,2026-01-01,18:47:00,4,21.000000,6.000000,dine_in,completed,0,Credit Card,14.000000,65.000000,Server 04,2026-01,3,18,full_price
100040,5650,565,5085,1850,3235,4,2026-01-01,18:47:00,4,,,takeaway,completed,10,Cash,25.000000,25.000000,Server 04,2026-01,3,18,discounted
100041,2750,0,2750,850,1900,2,2026-01-01,18:50:00,4,8.000000,1.000000,dine_in,completed,0,Debit Card,16.000000,71.000000,Server 04,2026-01,3,18,full_price
100042,4600,460,4140,1750,2390,2,2026-01-01,19:04:00,3,2.000000,2.000000,dine_in,completed,10,Credit Card,22.000000,51.000000,Server 03,2026-01,3,19,discounted
100043,7050,0,7050,2340,4710,5,2026-01-01,19:11:00,2,12.000000,3.000000,dine_in,completed,0,Credit Card,22.000000,67.000000,Server 02,2026-01,3,19,full_price
100044,6250,0,6250,2190,4060,4,2026-01-01,19:12:00,3,3.000000,2.000000,dine_in,completed,0,Credit Card,23.000000,54.000000,Server 03,2026-01,3,19,full_price
100045,7950,795,7155,2330,4825,7,2026-01-01,19:41:00,3,,,takeaway,completed,10,Debit Card,19.000000,19.000000,Server 03,2026-01,3,19,discounted
100046,5650,0,5650,1960,3690,4,2026-01-01,19:44:00,2,,,takeaway,completed,0,Credit Card,13.000000,13.000000,Server 02,2026-01,3,19,full_price
100047,6400,0,6400,1940,4460,6,2026-01-01,19:55:00,6,1.000000,2.000000,dine_in,completed,0,Credit Card,12.000000,58.000000,Server 06,2026-01,3,19,full_price
100048,11250,0,11250,3515,7735,10,2026-01-01,19:56:00,4,9.000000,4.000000,dine_in,completed,0,Credit Card,18.000000,63.000000,Server 04,2026-01,3,19,full_price
100049,7350,0,7350,2690,4660,5,2026-01-01,19:58:00,7,,,takeaway,completed,0,Credit Card,21.000000,21.000000,Server 07,2026-01,3,19,full_price
100050,9100,0,9100,2950,6150,6,2026-01-01,20:03:00,3,,,takeaway,completed,0,Credit Card,21.000000,21.000000,Server 03,2026-01,3,20,full_price
100051,10400,1040,9360,3270,6090,8,2026-01-01,20:07:00,3,10.000000,4.000000,dine_in,completed,10,Cash,18.000000,59.000000,Server 03,2026-01,3,20,discounted
100052,4950,0,4950,1550,3400,4,2026-01-01,20:22:00,3,2.000000,2.000000,dine_in,completed,0,Debit Card,18.000000,61.000000,Server 03,2026-01,3,20,full_price
100053,10500,0,10500,3950,6550,7,2026-01-01,20:45:00,7,11.000000,3.000000,dine_in,completed,0,Credit Card,23.000000,51.000000,Server 07,2026-01,3,20,full_price
100054,7100,710,6390,2220,4170,6,2026-01-01,20:49:00,2,12.000000,3.000000,dine_in,completed,10,Credit Card,21.000000,72.000000,Server 02,2026-01,3,20,discounted
100055,13550,0,13550,4810,8740,10,2026-01-01,20:51:00,3,13.000000,4.000000,dine_in,completed,0,Cash,19.000000,93.000000,Server 03,2026-01,3,20,full_price
100056,4650,0,4650,1800,2850,3,2026-01-01,20:52:00,6,3.000000,1.000000,dine_in,completed,0,Debit Card,22.000000,63.000000,Server 06,2026-01,3,20,full_price
100057,10250,0,10250,3440,6810,7,2026-01-01,20:59:00,6,,,takeaway,completed,0,Debit Card,24.000000,24.000000,Server 06,2026-01,3,20,full_price
100058,3400,0,3400,1110,2290,3,2026-01-01,21:11:00,7,1.000000,1.000000,dine_in,completed,0,Credit Card,21.000000,53.000000,Server 07,2026-01,3,21,full_price
100059,12900,1290,11610,4510,7100,10,2026-01-01,21:11:00,2,9.000000,4.000000,dine_in,completed,10,Cash,17.000000,60.000000,Server 02,2026-01,3,21,discounted
100060,10600,0,10600,3450,7150,8,2026-01-01,21:44:00,7,10.000000,4.000000,dine_in,completed,0,Debit Card,18.000000,59.000000,Server 07,2026-01,3,21,full_price
100061,6400,0,6400,2470,3930,4,2026-01-01,21:46:00,6,2.000000,2.000000,dine_in,completed,0,Credit Card,23.000000,38.000000,Server 06,2026-01,3,21,full_price
100062,3900,0,3900,1210,2690,3,2026-01-01,21:57:00,4,,,takeaway,completed,0,Debit Card,16.000000,16.000000,Server 04,2026-01,3,21,full_price
100063,14650,0,14650,4900,9750,11,2026-01-02,11:07:00,5,,,takeaway,completed,0,Credit Card,24.000000,24.000000,Server 05,2026-01,4,11,full_price
100064,5450,0,5450,1880,3570,4,2026-01-02,11:10:00,4,,,takeaway,completed,0,Credit Card,25.000000,25.000000,Server 04,2026-01,4,11,full_price
100065,5600,560,5040,1650,3390,5,2026-01-02,11:32:00,4,1.000000,2.000000,dine_in,completed,10,Debit Card,21.000000,58.000000,Server 04,2026-01,4,11,discounted
100066,4350,0,4350,1450,2900,3,2026-01-02,11:53:00,6,,,takeaway,completed,0,Credit Card,23.000000,23.000000,Server 06,2026-01,4,11,full_price
100067,3600,0,3600,1420,2180,2,2026-01-02,11:55:00,8,,,takeaway,completed,0,Debit Card,18.000000,18.000000,Server 08,2026-01,4,11,full_price
100068,5550,0,5550,1820,3730,5,2026-01-02,12:08:00,3,2.000000,2.000000,dine_in,completed,0,Credit Card,17.000000,63.000000,Server 03,2026-01,4,12,full_price
100069,2400,240,2160,700,1460,2,2026-01-02,12:37:00,6,,,takeaway,completed,10,Credit Card,27.000000,27.000000,Server 06,2026-01,4,12,discounted
100070,6650,0,6650,2405,4245,5,2026-01-02,12:46:00,8,1.000000,2.000000,dine_in,completed,0,Credit Card,17.000000,70.000000,Server 08,2026-01,4,12,full_price
100071,9050,0,9050,3000,6050,6,2026-01-02,12:55:00,6,9.000000,3.000000,dine_in,completed,0,Debit Card,18.000000,70.000000,Server 06,2026-01,4,12,full_price
100072,4700,0,4700,1670,3030,4,2026-01-02,12:57:00,4,,,takeaway,completed,0,Cash,18.000000,18.000000,Server 04,2026-01,4,12,full_price
100073,5000,0,5000,1600,3400,4,2026-01-02,12:59:00,4,,,takeaway,completed,0,Debit Card,20.000000,20.000000,Server 04,2026-01,4,12,full_price
100074,4300,0,4300,1210,3090,4,2026-01-02,13:01:00,8,3.000000,2.000000,dine_in,completed,0,Debit Card,12.000000,79.000000,Server 08,2026-01,4,13,full_price
100075,8450,0,8450,3000,5450,6,2026-01-02,13:02:00,8,10.000000,3.000000,dine_in,completed,0,Cash,14.000000,63.000000,Server 08,2026-01,4,13,full_price
100076,3900,0,3900,1210,2690,3,2026-01-02,13:06:00,7,,,takeaway,completed,0,Cash,31.000000,31.000000,Server 07,2026-01,4,13,full_price
100077,9250,0,9250,2850,6400,8,2026-01-02,13:12:00,6,11.000000,3.000000,dine_in,completed,0,Cash,20.000000,64.000000,Server 06,2026-01,4,13,full_price
100078,7750,775,6975,2760,4215,6,2026-01-02,13:15:00,7,2.000000,2.000000,dine_in,completed,10,Credit Card,15.000000,69.000000,Server 07,2026-01,4,13,discounted
100079,7650,0,7650,2210,5440,7,2026-01-02,13:23:00,6,12.000000,3.000000,dine_in,completed,0,Debit Card,21.000000,54.000000,Server 06,2026-01,4,13,full_price
100080,13900,1390,12510,4740,7770,11,2026-01-02,13:32:00,3,13.000000,4.000000,dine_in,completed,10,Debit Card,14.000000,56.000000,Server 03,2026-01,4,13,discounted
100081,5600,0,5600,1850,3750,4,2026-01-02,13:44:00,3,4.000000,2.000000,dine_in,completed,0,Cash,21.000000,55.000000,Server 03,2026-01,4,13,full_price
100082,16500,0,16500,5500,11000,14,2026-01-02,13:46:00,6,21.000000,6.000000,dine_in,completed,0,Debit Card,14.000000,63.000000,Server 06,2026-01,4,13,full_price
100083,6700,0,6700,2430,4270,4,2026-01-02,14:02:00,8,,,takeaway,completed,0,Credit Card,19.000000,19.000000,Server 08,2026-01,4,14,full_price
100084,5750,0,5750,1750,4000,5,2026-01-02,14:19:00,6,1.000000,2.000000,dine_in,completed,0,Debit Card,23.000000,58.000000,Server 06,2026-01,4,14,full_price
100085,12200,1220,10980,4000,6980,10,2026-01-02,14:54:00,8,,,takeaway,completed,10,Credit Card,33.000000,33.000000,Server 08,2026-01,4,14,discounted
100086,5500,0,5500,1790,3710,4,2026-01-02,15:01:00,7,,,takeaway,completed,0,Cash,21.000000,21.000000,Server 07,2026-01,4,15,full_price
100087,5000,0,5000,1650,3350,4,2026-01-02,15:30:00,6,1.000000,2.000000,dine_in,completed,0,Credit Card,16.000000,67.000000,Server 06,2026-01,4,15,full_price
100088,17950,1795,16155,6795,9360,13,2026-01-02,15:45:00,3,21.000000,5.000000,dine_in,completed,10,Debit Card,22.000000,56.000000,Server 03,2026-01,4,15,discounted
100089,7250,0,7250,2200,5050,6,2026-01-02,15:48:00,8,9.000000,3.000000,dine_in,completed,0,Credit Card,18.000000,90.000000,Server 08,2026-01,4,15,full_price
100090,5500,0,5500,1560,3940,6,2026-01-02,16:05:00,5,2.000000,2.000000,dine_in,completed,0,Cash,16.000000,53.000000,Server 05,2026-01,4,16,full_price
100091,10350,1035,9315,3760,5555,6,2026-01-02,16:13:00,4,10.000000,4.000000,dine_in,completed,10,Credit Card,11.000000,45.000000,Server 04,2026-01,4,16,discounted
100092,13100,0,13100,4210,8890,11,2026-01-02,16:29:00,7,11.000000,4.000000,dine_in,completed,0,Cash,14.000000,82.000000,Server 07,2026-01,4,16,full_price
100093,5750,0,5750,1900,3850,5,2026-01-02,16:54:00,3,1.000000,2.000000,dine_in,completed,0,Credit Card,19.000000,55.000000,Server 03,2026-01,4,16,full_price
100094,13200,0,13200,4440,8760,10,2026-01-02,17:08:00,4,,,takeaway,completed,0,Debit Card,24.000000,24.000000,Server 04,2026-01,4,17,full_price
100095,2950,0,2950,860,2090,3,2026-01-02,17:09:00,5,2.000000,1.000000,dine_in,completed,0,Debit Card,13.000000,73.000000,Server 05,2026-01,4,17,full_price
100096,5300,530,4770,1760,3010,4,2026-01-02,17:17:00,7,3.000000,2.000000,dine_in,completed,10,Credit Card,25.000000,72.000000,Server 07,2026-01,4,17,discounted
100097,7700,0,7700,2650,5050,5,2026-01-02,17:23:00,4,9.000000,3.000000,dine_in,completed,0,Debit Card,18.000000,61.000000,Server 04,2026-01,4,17,full_price
100098,6500,0,6500,1960,4540,6,2026-01-02,17:30:00,4,4.000000,2.000000,dine_in,completed,0,Credit Card,24.000000,78.000000,Server 04,2026-01,4,17,full_price
100099,5950,0,5950,2100,3850,4,2026-01-02,17:35:00,4,,,takeaway,completed,0,Credit Card,20.000000,20.000000,Server 04,2026-01,4,17,full_price
100100,7950,0,7950,2510,5440,7,2026-01-02,17:38:00,8,10.000000,3.000000,dine_in,completed,0,Credit Card,18.000000,33.000000,Server 08,2026-01,4,17,full_price
100101,8650,0,8650,2790,5860,7,2026-01-02,18:00:00,5,11.000000,3.000000,dine_in,completed,0,Debit Card,29.000000,85.000000,Server 05,2026-01,4,18,full_price
100102,5900,0,5900,1910,3990,5,2026-01-02,18:04:00,8,1.000000,2.000000,dine_in,completed,0,Cash,36.000000,54.000000,Server 08,2026-01,4,18,full_price
100103,8000,0,8000,2820,5180,6,2026-01-02,18:07:00,4,12.000000,3.000000,dine_in,completed,0,Debit Card,33.000000,69.000000,Server 04,2026-01,4,18,full_price
100104,1800,0,1800,550,1250,1,2026-01-02,18:09:00,4,,,takeaway,completed,0,Debit Card,24.000000,24.000000,Server 04,2026-01,4,18,full_price
100105,3950,395,3555,1155,2400,3,2026-01-02,18:12:00,3,,,takeaway,completed,10,Debit Card,30.000000,30.000000,Server 03,2026-01,4,18,discounted
100106,12400,0,12400,4185,8215,9,2026-01-02,18:15:00,3,21.000000,5.000000,dine_in,completed,0,Debit Card,31.000000,66.000000,Server 03,2026-01,4,18,full_price
100107,5250,0,5250,1740,3510,4,2026-01-02,18:17:00,3,,,takeaway,completed,0,Debit Card,28.000000,28.000000,Server 03,2026-01,4,18,full_price
100108,4750,0,4750,1410,3340,4,2026-01-02,18:22:00,8,2.000000,2.000000,dine_in,completed,0,Credit Card,17.000000,77.000000,Server 08,2026-01,4,18,full_price
100109,2750,0,2750,850,1900,2,2026-01-02,18:24:00,7,,,takeaway,completed,0,Credit Card,30.000000,30.000000,Server 07,2026-01,4,18,full_price
100110,8600,860,7740,2970,4770,6,2026-01-02,18:25:00,5,,,takeaway,completed,10,Debit Card,32.000000,32.000000,Server 05,2026-01,4,18,discounted
100111,8550,0,8550,2900,5650,7,2026-01-02,18:26:00,7,9.000000,3.000000,dine_in,completed,0,Debit Card,27.000000,67.000000,Server 07,2026-01,4,18,full_price
100112,7200,0,7200,2900,4300,4,2026-01-02,18:28:00,8,5.000000,2.000000,dine_in,completed,0,Credit Card,22.000000,73.000000,Server 08,2026-01,4,18,full_price
100113,6050,0,6050,1860,4190,5,2026-01-02,18:28:00,7,6.000000,2.000000,dine_in,completed,0,Credit Card,20.000000,72.000000,Server 07,2026-01,4,18,full_price
100114,4800,0,4800,1420,3380,4,2026-01-02,18:33:00,4,,,takeaway,completed,0,Cash,35.000000,35.000000,Server 04,2026-01,4,18,full_price
100115,4800,0,4800,1610,3190,3,2026-01-02,18:34:00,5,,,takeaway,completed,0,Credit Card,29.000000,29.000000,Server 05,2026-01,4,18,full_price
100116,6400,0,6400,2070,4330,6,2026-01-02,18:37:00,5,3.000000,2.000000,dine_in,completed,0,Credit Card,31.000000,68.000000,Server 05,2026-01,4,18,full_price
100117,5400,0,5400,1800,3600,3,2026-01-02,18:48:00,4,,,takeaway,completed,0,Credit Card,36.000000,36.000000,Server 04,2026-01,4,18,full_price
100118,5000,0,5000,1540,3460,5,2026-01-02,18:53:00,6,4.000000,2.000000,dine_in,completed,0,Credit Card,25.000000,58.000000,Server 06,2026-01,4,18,full_price
100119,7000,0,7000,2510,4490,5,2026-01-02,18:59:00,7,1.000000,2.000000,dine_in,completed,0,Credit Card,24.000000,57.000000,Server 07,2026-01,4,18,full_price
100120,4850,0,4850,1590,3260,4,2026-01-02,19:04:00,7,7.000000,2.000000,dine_in,completed,0,Credit Card,27.000000,65.000000,Server 07,2026-01,4,19,full_price
100121,7750,0,7750,2510,5240,6,2026-01-02,19:05:00,8,10.000000,3.000000,dine_in,completed,0,Credit Card,22.000000,62.000000,Server 08,2026-01,4,19,full_price
100122,5750,0,5750,1895,3855,5,2026-01-02,19:07:00,5,,,takeaway,completed,0,Credit Card,33.000000,33.000000,Server 05,2026-01,4,19,full_price
100123,6300,0,6300,2060,4240,5,2026-01-02,19:07:00,8,8.000000,2.000000,dine_in,completed,0,Debit Card,28.000000,84.000000,Server 08,2026-01,4,19,full_price
100124,6200,0,6200,2230,3970,4,2026-01-02,19:16:00,8,12.000000,2.000000,dine_in,completed,0,Credit Card,32.000000,63.000000,Server 08,2026-01,4,19,full_price
100125,12000,0,12000,3910,8090,9,2026-01-02,19:26:00,4,,,takeaway,completed,0,Debit Card,28.000000,28.000000,Server 04,2026-01,4,19,full_price
100126,5100,0,5100,1660,3440,4,2026-01-02,19:28:00,7,,,takeaway,completed,0,Credit Card,28.000000,28.000000,Server 07,2026-01,4,19,full_price
100127,11850,0,11850,4060,7790,9,2026-01-02,19:31:00,8,11.000000,4.000000,dine_in,completed,0,Debit Card,26.000000,89.000000,Server 08,2026-01,4,19,full_price
100128,7600,0,7600,2400,5200,6,2026-01-02,19:32:00,3,13.000000,3.000000,dine_in,completed,0,Debit Card,28.000000,79.000000,Server 03,2026-01,4,19,full_price
100129,17650,0,17650,5745,11905,14,2026-01-02,19:37:00,6,21.000000,6.000000,dine_in,completed,0,Credit Card,30.000000,54.000000,Server 06,2026-01,4,19,full_price
100130,3850,385,3465,1160,2305,4,2026-01-02,19:40:00,4,2.000000,1.000000,dine_in,completed,10,Credit Card,24.000000,73.000000,Server 04,2026-01,4,19,discounted
100131,5000,500,4500,1710,2790,3,2026-01-02,19:41:00,6,5.000000,2.000000,dine_in,completed,10,Cash,23.000000,48.000000,Server 06,2026-01,4,19,discounted
100132,2000,0,2000,555,1445,2,2026-01-02,19:46:00,7,,,takeaway,completed,0,Debit Card,33.000000,33.000000,Server 07,2026-01,4,19,full_price
100133,11550,0,11550,4330,7220,7,2026-01-02,19:51:00,6,9.000000,4.000000,dine_in,completed,0,Credit Card,21.000000,74.000000,Server 06,2026-01,4,19,full_price
100134,5000,500,4500,1480,3020,4,2026-01-02,20:10:00,4,1.000000,2.000000,dine_in,completed,10,Cash,21.000000,72.000000,Server 04,2026-01,4,20,discounted
100135,5650,0,5650,1850,3800,4,2026-01-02,20:18:00,7,,,takeaway,completed,0,Credit Card,25.000000,25.000000,Server 07,2026-01,4,20,full_price
100136,9500,0,9500,2960,6540,7,2026-01-02,20:25:00,7,,,takeaway,completed,0,Credit Card,23.000000,23.000000,Server 07,2026-01,4,20,full_price
100137,8300,830,7470,2860,4610,6,2026-01-02,20:28:00,6,10.000000,3.000000,dine_in,completed,10,Debit Card,17.000000,62.000000,Server 06,2026-01,4,20,discounted
100138,2450,0,2450,800,1650,2,2026-01-02,20:36:00,6,3.000000,1.000000,dine_in,completed,0,Cash,22.000000,57.000000,Server 06,2026-01,4,20,full_price
100139,7000,0,7000,2530,4470,5,2026-01-02,20:38:00,5,4.000000,2.000000,dine_in,completed,0,Credit Card,20.000000,80.000000,Server 05,2026-01,4,20,full_price
100140,18000,1800,16200,6000,10200,15,2026-01-02,20:40:00,3,21.000000,6.000000,dine_in,completed,10,Debit Card,12.000000,81.000000,Server 03,2026-01,4,20,discounted
100141,4650,0,4650,1460,3190,4,2026-01-02,21:14:00,3,2.000000,2.000000,dine_in,completed,0,Credit Card,21.000000,64.000000,Server 03,2026-01,4,21,full_price
100142,12950,2590,10360,4250,6110,10,2026-01-02,21:34:00,4,9.000000,4.000000,dine_in,completed,20,Credit Card,25.000000,84.000000,Server 04,2026-01,4,21,discounted
100143,17600,0,17600,5645,11955,16,2026-01-02,21:53:00,5,22.000000,6.000000,dine_in,completed,0,Credit Card,17.000000,64.000000,Server 05,2026-01,4,21,full_price
100144,6700,0,6700,2180,4520,5,2026-01-03,11:04:00,7,1.000000,2.000000,dine_in,completed,0,Credit Card,21.000000,88.000000,Server 07,2026-01,5,11,full_price
100145,5050,505,4545,1850,2695,3,2026-01-03,11:09:00,4,,,takeaway,completed,10,Credit Card,23.000000,23.000000,Server 04,2026-01,5,11,discounted
100146,4450,445,4005,1450,2555,3,2026-01-03,11:29:00,8,2.000000,2.000000,dine_in,completed,10,Credit Card,18.000000,64.000000,Server 08,2026-01,5,11,discounted
100147,5700,570,5130,1760,3370,5,2026-01-03,11:29:00,8,,,takeaway,completed,10,Debit Card,22.000000,22.000000,Server 08,2026-01,5,11,discounted
100148,2650,0,2650,800,1850,2,2026-01-03,11:49:00,8,,,takeaway,completed,0,Credit Card,25.000000,25.000000,Server 08,2026-01,5,11,full_price
100149,7950,0,7950,2330,5620,7,2026-01-03,11:50:00,5,9.000000,3.000000,dine_in,completed,0,Credit Card,20.000000,52.000000,Server 05,2026-01,5,11,full_price
100150,11600,0,11600,3650,7950,10,2026-01-03,12:02:00,5,10.000000,4.000000,dine_in,completed,0,Credit Card,17.000000,74.000000,Server 05,2026-01,5,12,full_price
100151,5550,555,4995,1710,3285,5,2026-01-03,12:07:00,5,3.000000,2.000000,dine_in,completed,10,Credit Card,14.000000,64.000000,Server 05,2026-01,5,12,discounted
100152,8750,0,8750,3500,5250,4,2026-01-03,12:18:00,4,,,takeaway,completed,0,Credit Card,21.000000,21.000000,Server 04,2026-01,5,12,full_price
100153,9450,0,9450,3515,5935,6,2026-01-03,12:21:00,8,11.000000,3.000000,dine_in,completed,0,Debit Card,17.000000,85.000000,Server 08,2026-01,5,12,full_price
100154,9400,0,9400,3170,6230,8,2026-01-03,12:22:00,4,12.000000,3.000000,dine_in,completed,0,Debit Card,20.000000,67.000000,Server 04,2026-01,5,12,full_price
100155,14200,0,14200,4810,9390,11,2026-01-03,12:28:00,8,13.000000,4.000000,dine_in,completed,0,Credit Card,19.000000,82.000000,Server 08,2026-01,5,12,full_price
100156,7900,0,7900,2450,5450,7,2026-01-03,12:34:00,6,,,takeaway,completed,0,Credit Card,20.000000,20.000000,Server 06,2026-01,5,12,full_price
100157,4950,0,4950,1805,3145,3,2026-01-03,12:35:00,9,,,takeaway,completed,0,Cash,14.000000,14.000000,Server 09,2026-01,5,12,full_price
100158,8050,0,8050,2970,5080,6,2026-01-03,12:39:00,4,1.000000,2.000000,dine_in,completed,0,Credit Card,7.000000,50.000000,Server 04,2026-01,5,12,full_price
100159,7500,0,7500,2480,5020,6,2026-01-03,12:47:00,4,9.000000,3.000000,dine_in,completed,0,Credit Card,15.000000,66.000000,Server 04,2026-01,5,12,full_price
100160,7100,0,7100,2680,4420,5,2026-01-03,12:55:00,5,2.000000,2.000000,dine_in,completed,0,Credit Card,12.000000,64.000000,Server 05,2026-01,5,12,full_price
100161,7200,0,7200,2350,4850,5,2026-01-03,12:56:00,9,14.000000,3.000000,dine_in,completed,0,Credit Card,22.000000,58.000000,Server 09,2026-01,5,12,full_price
