order_date,orders,avg_service_minutes,gross_sales,discount_amount,net_sales,cost_amount,contribution_amount,aov,contribution_margin_pct,trailing_7d_net_sales
2026-02-25,71,18.732394,5821.000000,218.300000,5602.700000,1978.750000,3623.950000,78.911268,64.682207,38363.400000
2026-02-26,61,19.311475,4074.500000,57.600000,4016.900000,1345.300000,2671.600000,65.850820,66.508999,37066.250000
2026-02-27,92,23.054348,7094.000000,50.700000,7043.300000,2379.300000,4664.000000,76.557609,66.218960,38689.650000
2026-02-28,110,21.390909,8643.500000,122.200000,8521.300000,2964.250000,5557.050000,77.466364,65.213641,38537.450000
2026-03-01,82,19.634146,5844.500000,124.400000,5720.100000,1936.650000,3783.450000,69.757317,66.143074,38547.900000
2026-03-02,49,19.306122,3529.500000,95.950000,3433.550000,1175.600000,2257.950000,70.072449,65.761384,37807.700000
2026-03-03,68,19.279412,5050.000000,226.400000,4823.600000,1728.000000,3095.600000,70.935294,64.176134,39161.450000
2026-03-04,78,19.589744,6092.500000,258.650000,5833.850000,2038.350000,3795.500000,74.792949,65.059952,39392.600000
2026-03-05,76,18.828947,5832.500000,51.750000,5780.750000,1966.400000,3814.350000,76.062500,65.983653,41156.450000
2026-03-06,102,22.274510,7245.500000,150.350000,7095.150000,2447.400000,4647.750000,69.560294,65.506015,41208.300000
2026-03-07,146,22.006849,10567.000000,196.750000,10370.250000,3518.000000,6852.250000,71.029110,66.076035,43057.250000
2026-03-08,86,18.848837,6709.500000,108.350000,6601.150000,2245.600000,4355.550000,76.757558,65.981685,43938.300000
2026-03-09,71,19.746479,5582.000000,247.300000,5334.700000,1847.350000,3487.350000,75.136620,65.371061,45839.450000
2026-03-10,72,20.000000,5720.000000,204.850000,5515.150000,1934.800000,3580.350000,76.599306,64.918452,46531.000000
2026-03-11,68,19.220588,5125.500000,185.950000,4939.550000,1747.050000,3192.500000,72.640441,64.631394,45636.700000
2026-03-12,75,18.706667,5292.500000,88.100000,5204.400000,1765.450000,3438.950000,69.392000,66.077742,45060.350000
2026-03-13,95,21.715789,7315.500000,68.850000,7246.650000,2460.800000,4785.850000,76.280526,66.042240,45211.850000
2026-03-14,121,22.504132,9016.500000,153.850000,8862.650000,3066.650000,5796.000000,73.245041,65.398047,43704.250000
2026-03-15,84,19.619048,6856.000000,126.550000,6729.450000,2329.450000,4400.000000,80.112500,65.384244,43832.550000
2026-03-16,51,20.098039,3615.000000,158.000000,3457.000000,1203.450000,2253.550000,67.784314,65.188024,41954.850000
2026-03-17,59,18.830508,4459.500000,211.850000,4247.650000,1486.400000,2761.250000,71.994068,65.006533,40687.350000
2026-03-18,80,20.200000,5423.000000,233.350000,5189.650000,1809.350000,3380.300000,64.870625,65.135414,40937.450000
2026-03-19,72,19.430556,4918.000000,119.300000,4798.700000,1658.800000,3139.900000,66.648611,65.432305,40531.750000
2026-03-20,103,21.932039,7366.500000,90.900000,7275.600000,2463.250000,4812.350000,70.636893,66.143686,40560.700000
2026-03-21,121,21.851240,10007.000000,150.800000,9856.200000,3394.450000,6461.750000,81.456198,65.560256,41554.250000
2026-03-22,76,19.513158,5718.500000,71.250000,5647.250000,1895.400000,3751.850000,74.305921,66.436761,40472.050000
2026-03-23,63,19.095238,4662.500000,144.950000,4517.550000,1555.650000,2961.900000,71.707143,65.564299,41532.600000
2026-03-24,57,20.140351,4284.500000,244.500000,4040.000000,1445.950000,2594.050000,70.877193,64.209158,41324.950000
2026-03-25,56,19.071429,4436.500000,149.100000,4287.400000,1494.350000,2793.050000,76.560714,65.145543,40422.700000
2026-03-26,68,19.926471,5438.000000,87.100000,5350.900000,1795.150000,3555.750000,78.689706,66.451438,40974.900000
2026-03-27,113,21.876106,8661.000000,101.250000,8559.750000,2892.850000,5666.900000,75.750000,66.204036,42259.050000
2026-03-28,114,22.728070,8659.500000,172.750000,8486.750000,2906.200000,5580.550000,74.445175,65.756031,40889.600000
2026-03-29,90,18.900000,6890.000000,112.100000,6777.900000,2320.850000,4457.050000,75.310000,65.758568,42020.250000
2026-03-30,54,19.018519,4114.000000,178.100000,3935.900000,1371.950000,2563.950000,72.887037,65.142661,41438.600000
2026-03-31,49,19.448980,3621.000000,146.350000,3474.650000,1196.650000,2278.000000,70.911224,65.560560,40873.250000
2026-04-01,67,20.537313,5674.000000,289.900000,5384.100000,1819.150000,3564.950000,80.359701,66.212552,41969.950000
2026-04-02,67,18.611940,5152.000000,96.220000,5055.780000,1638.650000,3417.130000,75.459403,67.588582,41674.830000
2026-04-03,97,22.577320,7980.250000,178.690000,7801.560000,2540.650000,5260.910000,80.428454,67.434077,40916.640000
2026-04-04,119,21.487395,10178.750000,197.660000,9981.090000,3264.250000,6716.840000,83.874706,67.295656,42410.980000
2026-04-05,97,18.845361,7587.500000,117.190000,7470.310000,2436.800000,5033.510000,77.013505,67.380202,43103.390000
2026-04-06,53,20.773585,4708.250000,191.980000,4516.270000,1501.200000,3015.070000,85.212642,66.760180,43683.760000
2026-04-07,60,18.433333,5062.750000,207.870000,4854.880000,1616.350000,3238.530000,80.914667,66.706695,45063.990000
2026-04-08,69,20.231884,5259.500000,199.920000,5059.580000,1678.800000,3380.780000,73.327246,66.819380,44739.470000
2026-04-09,85,19.788235,6758.500000,107.790000,6650.710000,2150.550000,4500.160000,78.243647,67.664355,46334.400000
2026-04-10,101,21.405941,7735.000000,42.490000,7692.510000,2490.550000,5201.960000,76.163465,67.623701,46225.350000
2026-04-11,148,21.520270,11127.250000,157.620000,10969.630000,3538.250000,7431.380000,74.119122,67.745038,47213.890000
2026-04-12,77,19.545455,6250.500000,99.020000,6151.480000,1996.100000,4155.380000,79.889351,67.550898,45895.060000
2026-04-13,49,19.204082,3810.500000,136.650000,3673.850000,1203.800000,2470.050000,74.976531,67.233284,45052.640000
2026-04-14,53,18.830189,4322.500000,223.630000,4098.870000,1362.650000,2736.220000,77.337170,66.755472,44296.630000
2026-04-15,78,18.653846,5885.000000,234.210000,5650.790000,1882.350000,3768.440000,72.446026,66.688728,44887.840000
2026-04-16,81,19.246914,6660.000000,91.830000,6568.170000,2121.850000,4446.320000,81.088519,67.694959,44805.300000
2026-04-17,108,21.842593,8443.750000,113.660000,8330.090000,2641.950000,5688.140000,77.130463,68.284256,45442.880000
2026-04-18,98,22.265306,7588.500000,155.170000,7433.330000,2453.650000,4979.680000,75.850306,66.991241,41906.580000
2026-04-19,100,19.560000,7881.000000,71.380000,7809.620000,2535.750000,5273.870000,78.096200,67.530430,43564.720000
2026-04-20,71,19.014085,5708.250000,239.780000,5468.470000,1791.950000,3676.520000,77.020704,67.231237,45359.340000
2026-04-21,67,18.567164,5181.250000,247.720000,4933.530000,1626.600000,3306.930000,73.634776,67.029693,46194.000000
2026-04-22,75,20.960000,6207.000000,252.380000,5954.620000,1974.400000,3980.220000,79.394933,66.842553,46497.830000
2026-04-23,80,19.337500,6172.250000,91.880000,6080.370000,1948.900000,4131.470000,76.004625,67.947674,46010.030000
2026-04-24,120,22.200000,9514.750000,104.610000,9410.140000,3027.100000,6383.040000,78.417833,67.831509,47090.080000
2026-04-25,114,22.754386,8925.750000,98.960000,8826.790000,2851.550000,5975.240000,77.427982,67.694371,48483.540000
2026-04-26,103,19.145631,8418.500000,97.740000,8320.760000,2716.000000,5604.760000,80.784078,67.358751,48994.680000
2026-04-27,61,19.918033,4613.500000,251.630000,4361.870000,1460.200000,2901.670000,71.506066,66.523532,47888.080000
2026-04-28,65,19.984615,4700.750000,181.560000,4519.190000,1514.000000,3005.190000,69.526000,66.498421,47473.740000
2026-04-29,65,19.215385,5418.500000,209.410000,5209.090000,1734.350000,3474.740000,80.139846,66.705317,46728.210000
2026-04-30,82,20.134146,5744.750000,54.180000,5690.570000,1827.450000,3863.120000,69.397195,67.886345,46338.410000
2026-05-01,117,22.401709,9456.750000,132.780000,9323.970000,3125.390000,6198.580000,79.692051,66.480051,46252.240000
2026-05-02,140,21.728571,11099.500000,162.190000,10937.310000,3691.080000,7246.230000,78.123643,66.252397,48362.760000
2026-05-03,88,20.011364,6863.750000,154.680000,6709.070000,2268.390000,4440.680000,76.239432,66.189204,46751.070000
2026-05-04,67,18.791045,5562.000000,250.590000,5311.410000,1852.720000,3458.690000,79.274776,65.118114,47700.610000
2026-05-05,64,19.312500,5034.250000,169.880000,4864.370000,1657.080000,3207.290000,76.005781,65.934335,48045.790000
2026-05-06,76,19.065789,6598.750000,251.340000,6347.410000,2176.830000,4170.580000,83.518553,65.705225,49184.110000
2026-05-07,82,19.780488,6245.250000,78.620000,6166.630000,2080.020000,4086.610000,75.202805,66.269745,49660.170000
2026-05-08,125,21.800000,9877.250000,148.570000,9728.680000,3258.940000,6469.740000,77.829440,66.501725,50064.880000
2026-05-09,118,21.559322,9317.750000,154.410000,9163.340000,3082.280000,6081.060000,77.655424,66.362920,48290.910000
2026-05-10,116,19.836207,9472.250000,148.810000,9323.440000,3144.160000,6179.280000,80.374483,66.276825,50905.280000
2026-05-11,58,19.258621,4361.500000,110.340000,4251.160000,1466.360000,2784.800000,73.295862,65.506826,49845.030000
2026-05-12,66,19.606061,5555.500000,164.830000,5390.670000,1846.130000,3544.540000,81.676818,65.753237,50371.330000
2026-05-13,75,19.840000,5923.500000,231.520000,5691.980000,1938.410000,3753.570000,75.893067,65.944891,49715.900000
2026-05-14,84,19.154762,6873.500000,64.450000,6809.050000,2286.500000,4522.550000,81.060119,66.419691,50358.320000
2026-05-15,99,22.222222,7549.750000,92.610000,7457.140000,2475.330000,4981.810000,75.324646,66.805907,48086.780000
2026-05-16,141,22.524823,9901.250000,174.760000,9726.490000,3279.840000,6446.650000,68.982199,66.279305,48649.930000
2026-05-17,94,19.297872,7222.750000,119.510000,7103.240000,2430.550000,4672.690000,75.566383,65.782516,46429.730000
2026-05-18,56,19.750000,3979.500000,169.080000,3810.420000,1325.340000,2485.080000,68.043214,65.218007,45988.990000
2026-05-19,66,18.742424,5332.500000,235.740000,5096.760000,1767.290000,3329.470000,77.223636,65.325226,45695.080000
2026-05-20,77,19.376623,6093.750000,245.780000,5847.970000,2023.970000,3824.000000,75.947662,65.390212,45851.070000
2026-05-21,78,20.076923,6222.000000,87.670000,6134.330000,2061.530000,4072.800000,78.645256,66.393559,45176.350000
2026-05-22,122,22.172131,9030.500000,135.020000,8895.480000,2969.450000,5926.030000,72.913770,66.618440,46614.690000
2026-05-23,129,22.356589,10517.000000,50.940000,10466.060000,3488.390000,6977.670000,81.132248,66.669501,47354.260000
2026-05-24,79,18.645570,5891.750000,30.080000,5861.670000,1923.480000,3938.190000,74.198354,67.185461,46112.690000
2026-05-25,65,19.123077,5564.750000,314.710000,5250.040000,1868.130000,3381.910000,80.769846,64.416843,47552.310000
2026-05-26,61,19.180328,4472.250000,126.780000,4345.470000,1484.390000,2861.080000,71.237213,65.840519,46801.020000
2026-05-27,81,19.518519,6320.750000,321.410000,5999.340000,2087.790000,3911.550000,74.065926,65.199672,46952.390000
2026-05-28,83,18.867470,6662.500000,62.310000,6600.190000,2161.170000,4439.020000,79.520361,67.255943,47418.250000
2026-05-29,118,21.711864,9138.000000,101.150000,9036.850000,3036.540000,6000.310000,76.583475,66.398247,47559.620000
2026-05-30,116,21.931034,8722.250000,138.870000,8583.380000,2837.410000,5745.970000,73.994655,66.942976,45676.940000
2026-05-31,77,19.207792,5821.500000,91.510000,5729.990000,1902.390000,3827.600000,74.415455,66.799418,45545.260000
2026-06-01,69,19.434783,5462.250000,208.560000,5253.690000,1809.020000,3444.670000,76.140435,65.566678,45548.910000
2026-06-02,62,18.709677,5018.250000,294.910000,4723.340000,1655.660000,3067.680000,76.182903,64.947262,45926.780000
2026-06-03,83,19.337349,6859.500000,258.660000,6600.840000,2322.850000,4277.990000,79.528193,64.809782,46528.280000
2026-06-04,71,19.535211,5637.500000,65.770000,5571.730000,1844.820000,3726.910000,78.475070,66.889638,45499.820000
2026-06-05,134,22.380597,10707.000000,112.520000,10594.480000,3545.770000,7048.710000,79.063284,66.531911,47057.450000
2026-06-06,122,21.975410,10175.750000,96.560000,10079.190000,3347.360000,6731.830000,82.616311,66.789395,48553.260000
2026-06-07,112,19.375000,9143.000000,178.480000,8964.520000,3047.530000,5916.990000,80.040357,66.004538,51787.790000
2026-06-08,61,19.852459,4588.250000,170.090000,4418.160000,1539.600000,2878.560000,72.428852,65.152914,50952.260000
2026-06-09,78,18.397436,6049.750000,262.450000,5787.300000,1997.580000,3789.720000,74.196154,65.483386,52016.220000
2026-06-10,91,19.714286,7192.500000,278.690000,6913.810000,2403.210000,4510.600000,75.975934,65.240439,52329.190000
2026-06-11,69,20.637681,6112.000000,44.170000,6067.830000,2062.990000,4004.840000,87.939565,66.001190,52825.290000
2026-06-12,135,22.007407,11046.250000,110.940000,10935.310000,3687.790000,7247.520000,81.002296,66.276310,53166.120000
2026-06-13,138,21.840580,11134.750000,149.720000,10985.030000,3738.780000,7246.250000,79.601667,65.964772,54071.960000
2026-06-14,105,19.238095,8807.000000,115.850000,8691.150000,2933.280000,5757.870000,82.772857,66.249806,53798.590000
2026-06-15,62,19.112903,4692.750000,252.500000,4440.250000,1577.570000,2862.680000,71.616935,64.471145,53820.680000
2026-06-16,63,19.428571,5346.250000,314.310000,5031.940000,1788.080000,3243.860000,79.872063,64.465395,53065.320000
2026-06-17,79,19.050633,5718.000000,243.180000,5474.820000,1887.880000,3586.940000,69.301519,65.517040,51626.330000
2026-06-18,81,18.740741,6687.000000,96.000000,6591.000000,2228.600000,4362.400000,81.370370,66.187225,52149.500000
2026-06-19,114,22.236842,8726.250000,66.710000,8659.540000,2903.170000,5756.370000,75.960877,66.474316,49873.730000
2026-06-20,151,22.099338,12588.750000,198.560000,12390.190000,4135.090000,8255.100000,82.054238,66.626097,51278.890000
2026-06-21,105,19.609524,9113.000000,112.750000,9000.250000,2983.960000,6016.290000,85.716667,66.845810,51587.990000
2026-06-22,63,19.269841,5120.000000,255.290000,4864.710000,1693.660000,3171.050000,77.217619,65.184769,52012.450000
2026-06-23,74,19.000000,6081.750000,314.790000,5766.960000,2034.670000,3732.290000,77.931892,64.718500,52747.470000
2026-06-24,73,19.027397,5098.000000,236.190000,4861.810000,1674.250000,3187.560000,66.600137,65.563237,52134.460000
2026-06-25,107,19.411215,9103.750000,123.210000,8980.540000,2986.840000,5993.700000,83.930280,66.740975,54524.000000
2026-06-26,102,21.911765,7727.750000,118.130000,7609.620000,2551.370000,5058.250000,74.604118,66.471782,53474.080000
2026-06-27,142,21.823944,11857.250000,173.680000,11683.570000,3942.220000,7741.350000,82.278662,66.258430,52767.460000
2026-06-28,99,19.888889,7069.750000,84.750000,6985.000000,2339.900000,4645.100000,70.555556,66.501074,50752.210000
2026-06-29,65,18.969231,5633.500000,219.520000,5413.980000,1916.630000,3497.350000,83.292000,64.598502,51301.480000
2026-06-30,70,19.614286,5054.250000,275.370000,4778.880000,1652.070000,3126.810000,68.269714,65.429766,50313.400000
